,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
248,1.94,-68.62,314.65,170.27,70.66,-180,-0.82,-0.02,1.12
249,5.63,-51.05,307.25,-12.31,-109.05,-16,0.29,-0.12,0.79
250,12.79,7.84,340.71,-48.72,-95.46,-29,0.04,-0.47,0.15
251,-43.1,-4.26,379.47,24.01,52.08,77.63,-1.18,-0.27,0.92
252,-36,-58.62,353.97,188.89,178.15,14.7,-1.1,0,0.77
253,0.85,-73.8,311.31,192.27,-133.21,-22,0.11,0.17,0.71
254,21.8,-44.37,324.1,-130.12,-94.18,-15,-0.12,-0.46,0.18
255,-12,-26.15,365.59,37.82,28.11,101.24,-1.23,-0.24,1.09
256,-15,-81.17,326.7,213.24,171.27,-23,-0.58,0.03,1.19
257,8.17,-85.6,317.78,60.64,-135.49,-225,0.57,-0.16,1.06
258,-2.9,-66.41,350.59,-119.52,-110.29,7,-0.12,-0.28,0.09
259,-51,-59.33,345.29,30.72,55.76,21.66,-0.83,-0.43,0.34
260,-41,-78.7,317.45,188.08,219.57,49.3,-1.24,0.34,0.92
261,20.3,-82.24,276.04,207.89,-55.53,-165,-0.66,-0.12,1.06
262,-34,-39.77,320.14,-40.46,-223.5,-14,0.19,-0.14,0.57
263,-62,-41.78,304.21,-111.71,-67.13,3.2,-0.11,-0.5,0.18
264,-14,-46.63,272.92,112.34,104.64,84.2,-1.01,0.02,1.03
265,19.3,-27.06,274.93,218.05,58.73,-46.8,-1.25,0.36,1.24
266,-38,-18.48,276.55,0.56,-62.62,0,0.11,-0.21,0.81
267,-53.18,3.08,284.03,77.34,-121.05,-240,-0.02,-0.37,0.36
268,-35,-16.15,266.47,-106.92,-109.99,-5,-0.51,-0.33,0.56
269,10.7,-31.37,241.3,23.93,-31.09,31.4,-0.55,0.34,1.59
270,17.5,-26.45,243.07,185.49,56.82,-11.1,-0.47,0.02,1.18
271,-20.5,7.54,278.89,33.25,14.79,-198.6,0.4,-0.14,0.81
272,-60.8,12.36,284.92,-113.6,-22.63,78,-0.04,-0.59,0.19
273,-9.13,8.26,244.02,81.52,35.02,39.59,-0.73,-0.28,1.02
274,23.21,7.16,249.22,184.64,97.45,-122,-0.52,-0.08,1.49
275,-1,37.68,274.13,-12.01,-17.44,-240,0.04,-0.13,0.69
276,-34.4,47.01,278.58,-74.86,-25.52,-55,-0.36,-0.5,0.2
277,-43.2,16.91,268.56,60.1,65.73,74.55,-0.14,0.12,1.19
278,-0.2,-12.86,228.57,49.65,28.96,-146.6,-0.86,0.34,1.22
279,21.6,-10.49,233.33,72.24,77.95,-204.5,-0.2,-0.08,1.26
280,-0.34,16.75,259.01,-24.37,-78.26,-137,0.03,-0.23,0.77
281,-22.3,5.51,245.64,-55.49,-63.27,41.4,-0.35,-0.51,0.29
282,9.5,-14.17,227.55,53.54,9.76,67.32,-0.72,-0.14,0.94
283,11.16,-6.09,211.52,184.29,126.5,-79,-1.1,0.01,1.16
284,-7.04,13.7,212.92,68.79,13.52,-234,-0.04,0.1,0.78
285,-37.8,51.46,254.16,-119.88,-14.95,-35,-0.26,-0.45,0.46
286,-45.7,42.48,246.9,66.18,-6.59,88.94,-0.45,-0.36,0.81
287,18.57,42.2,256.81,143.66,119.57,-3.8,-1.02,-0.1,1.02
288,5.16,18.31,217.33,62.4,36.21,-132.6,-0.42,-0.22,0.92
289,16.09,34.03,234.19,6.47,-117.3,-167,0.21,-0.2,0.61
290,-60.2,29.16,272.24,-114.35,-113.73,0,-0.01,-0.36,0.18
291,-53,-12.03,231.52,65.97,7.12,83.14,-0.48,-0.59,1.11
292,0.09,-18.89,196.73,145.01,104.47,-1.3,-0.71,-0.09,1.12
293,11.97,2.26,232.99,62.31,24.1,-186.6,-0.26,-0.32,1.26
294,-33.6,40.46,262.33,-27.02,-64.47,-79,0.28,-0.27,0.94
295,-50.3,25.15,239.4,-30.78,-75.72,36.6,0.11,-0.52,0.3
296,-14.45,5.81,215.27,-18.44,31.76,42.94,-0.24,-0.74,0.59
297,19.44,0.62,182.47,47.56,76.28,-27.17,-1.26,-0.03,0.97
298,-39.1,53.49,233.6,199.52,145.05,-145,-0.56,-0.01,1.04
299,-52.3,45.87,207.65,11.82,-32.37,-176,-0.44,-0.08,0.94
