,yaw,pitch,roll,g_x,g_y,g_z,a_x,a_y,a_z
163,20.02,39.83,126.18,123.51,60.31,-138,0.54,0.33,0.53
164,-1.36,30.51,120.38,250.13,220.53,103,0.05,0.53,0.68
165,-14.8,-17.42,71.06,21.04,-1.53,76.99,0.36,-0.09,0.07
166,52.07,-15.56,20.66,-9.1,-30.58,-5.24,0.88,-0.96,0.57
167,13.24,-6.17,7.01,-176.15,-175.55,-5,0.65,-1.24,0.35
168,-6.68,22.94,5.11,-183.7,10.82,200,0.37,-1.03,-0.08
169,-65.04,40.84,21.41,-42.09,39.57,51.12,0.78,-1,0.4
170,-38.26,75.92,42.09,4.74,119.24,-25.79,0.36,0.03,0.35
171,0.98,76.15,45.94,73.93,81.12,-250.1,0.13,0.59,0.77
172,7.67,69.98,46.98,86.16,155.08,-147,0.1,0.58,0.59
173,64.78,29.71,47.06,16.29,14.4,3.8,0.63,-0.13,0.31
174,60.88,70.16,56.16,4.47,-11.44,29.6,0.6,-0.45,0.01
175,11.83,50.72,52.08,9.57,-140.76,250.1,0.52,-1.13,-0.09
176,-0.45,71.61,53.91,49.92,175.32,234.1,0.22,-1.11,0.03
177,-44,129.85,112.29,3.09,-62.97,45.68,0.8,-1.07,0.57
178,54.3,138.43,132.62,28.36,94.05,-1.76,0.49,0.12,0.48
179,3.4,131.53,127.55,250.13,250.13,-172,0.3,0.49,0.73
180,-19.8,92.06,116.17,97.77,62.33,209.09,0.46,-0.4,0.45
181,-1.47,64.27,56.21,-4.17,-2.48,13.06,0.52,-1.4,0.97
182,31.57,89.95,7.79,-33.98,-137.19,-76,0.37,-1,0.2
183,-0.28,74.62,7,-216.52,-90.53,-5,0.87,-1.25,0.12
184,-58.14,110.61,7.72,-177.34,116.34,121,0.41,-0.23,0.12
185,-65,138.23,25.63,8.82,-43.94,-1.08,0.13,0.44,0.56
186,-10.5,137.6,32.69,12.85,162.33,-224,0.12,0.57,0.66
187,4.55,131.88,35.55,77.54,137.66,-250,0.58,-0.06,0.35
188,64.78,95.23,42.55,26.47,21.33,-40.37,0.74,0.03,-0.14
189,56.36,94.1,49.83,10.28,0.42,17.58,0.24,-1.12,-0.06
190,18.06,63.44,40.15,34.69,-116.72,250,0.32,-1.13,0.13
191,-5.82,70.64,44.68,35.67,23.46,217.6,0.56,-1.3,1.02
192,-8.9,117.36,103.4,-18.3,-105.44,69,-0.23,-0.11,0.13
193,37.2,100.98,137.73,36.45,41.66,-22.46,0.37,0.56,0.33
194,0.06,102.67,135.21,250.13,201.51,-34,0.22,0.51,0.58
